ROBO_ID;OCCURRENCE;CODE;;;;;;;;;;;;;;
336;22.01.2022;E0122;;;;;;;;;;;;;;
294;21.01.2022;E1086;;;;;;;;;;;;;;
294;21.01.2022;E1028;;;;;;;;;;;;;;
294;21.01.2022;E5055;;;;;;;;;;;;;;
280;25.04.2022;E0898;;;;;;;;;;;;;;
294;26.04.2022;E1028;;;;;;;;;;;;;;
312;26.04.2022;E0898;;;;;;;;;;;;;;
294;25.04.2022;E1028;;;;;;;;;;;;;;
220;25.04.2022;E1060;;;;;;;;;;;;;;
220;26.04.2022;E0229;;;;;;;;;;;;;;
220;25.04.2022;E0218;;;;;;;;;;;;;;
186;24.01.2022;E5055;;;;;;;;;;;;;;
186;24.01.2022;E5055;;;;;;;;;;;;;;
125;27.01.2022;E5055;;;;;;;;;;;;;;
137;26.01.2022;E1043;;;;;;;;;;;;;;
137;26.01.2022;E5055;;;;;;;;;;;;;;
138;26.01.2022;E5055;;;;;;;;;;;;;;
138;26.01.2022;E5055;;;;;;;;;;;;;;
140;26.01.2022;E5055;;;;;;;;;;;;;;
177;26.01.2022;E5055;;;;;;;;;;;;;;
193;26.01.2022;E9407;;;;;;;;;;;;;;
214;27.01.2022;E3994;;;;;;;;;;;;;;
265;26.01.2022;E5055;;;;;;;;;;;;;;
214;23.04.2022;E0027;;;;;;;;;;;;;;
43;28.01.2022;E0122;;;;;;;;;;;;;;
43;28.01.2022;E0122;;;;;;;;;;;;;;
254;29.01.2022;E5055;;;;;;;;;;;;;;
300;30.01.2022;E5054;;;;;;;;;;;;;;
300;30.01.2022;E1043;;;;;;;;;;;;;;
214;31.01.2022;E1107;;;;;;;;;;;;;;
46;1.02.2022;E0027;;;;;;;;;;;;;;
46;1.02.2022;E0898;;;;;;;;;;;;;;
106;11.05.2022;E0898;;;;;;;;;;;;;;
132;10.05.2022;E1043;;;;;;;;;;;;;;
112;2.02.2022;E0898;;;;;;;;;;;;;;
177;1.02.2022;E5054;;;;;;;;;;;;;;
39;11.05.2022;E1107;;;;;;;;;;;;;;
126;4.02.2022;E1028;;;;;;;;;;;;;;
126;4.02.2022;E1028;;;;;;;;;;;;;;
169;3.02.2022;E1549;;;;;;;;;;;;;;
172;4.02.2022;E5055;;;;;;;;;;;;;;
261;12.05.2022;E5054;;;;;;;;;;;;;;
261;12.05.2022;E5055;;;;;;;;;;;;;;
281;11.05.2022;E0898;;;;;;;;;;;;;;
281;11.05.2022;E0898;;;;;;;;;;;;;;
340;11.05.2022;E5055;;;;;;;;;;;;;;
294;9.05.2022;E1028;;;;;;;;;;;;;;
294;10.05.2022;E1028;;;;;;;;;;;;;;
185;2.02.2022;E5055;;;;;;;;;;;;;;
39;8.05.2022;E3994;;;;;;;;;;;;;;
177;31.01.2022;E5054;;;;;;;;;;;;;;
257;8.05.2022;E1043;;;;;;;;;;;;;;
257;8.05.2022;E5054;;;;;;;;;;;;;;
257;8.05.2022;E5055;;;;;;;;;;;;;;
253;9.05.2022;E5055;;;;;;;;;;;;;;
308;1.02.2022;E1107;;;;;;;;;;;;;;
322;1.02.2022;E0898;;;;;;;;;;;;;;
347;25.01.2022;E0027;;;;;;;;;;;;;;
